method,day,event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
droop,4,1,54,0,0,0.9401801250658494,1.0,1.7171478322681302,0.037582813432284944,0.055043417722293236,0.0,6.195959778603917,0.44551851332712084
droop,38,1,96,0,0,0.928194118487746,1.0,2.7628210198049,0.04742852579026172,0.0649465638449924,0.0,9.626409101415938,0.44721360216395983
droop,77,1,96,0,0,0.9256191421968165,1.0020458988068621,2.701445989042138,0.04476845830989381,0.06273738247814109,0.0,8.480107162346643,0.44721360216395983
droop,85,1,85,0,0,0.9310488098079672,1.0,2.594299494968469,0.04596899412960435,0.06353738943090896,0.0,9.06243042250759,0.44721360216395983
droop,105,1,71,0,0,0.9381700359980842,1.0087360244980874,1.9810875320446113,0.03481189274073889,0.05468042297620088,0.0,4.672622298567914,0.4018471099220842
droop,133,1,72,0,0,0.9372456975651134,1.0063514802998996,2.054173019699273,0.03610227629542351,0.055443289791751005,0.0,5.1040236516147095,0.43339186251581874
droop,137,0,0,0,0,0.950735329477851,1.0080758912644425,1.3644732375761028,0.02746845541211466,0.04496477775304133,0.0,3.0784855032387393,0.3967681408933387
droop,147,1,73,0,0,0.9366603525489227,1.0079388625381065,2.133216489725078,0.035814706003293395,0.055619434236695416,0.0,4.914113309764944,0.44306809319780244
droop,159,1,6,0,0,0.9496937907186431,1.0071914306337297,1.2472364634690416,0.02530409269578134,0.04198365017996804,0.0,2.847935767164424,0.3296941623450126
droop,220,1,67,0,0,0.9374240874041989,1.0045832247443098,1.8735261772448932,0.035597872687503695,0.05458395423127041,0.0,4.994949237365022,0.44089742786718084
droop,236,0,0,0,0,0.9517065639922484,1.008505562501081,1.1642495140513436,0.02296195219969377,0.03784321332403271,0.0,2.7460899380753383,0.299902008924295
droop,241,1,67,0,0,0.9378661822923736,1.0013435119453422,1.9038662973139735,0.03739236281641448,0.05530911410354308,0.0,5.891542716910639,0.412826053010529
droop,245,1,71,0,0,0.9365745602085489,1.004369412941984,2.0440540705184604,0.03762854616312931,0.056187039983902114,0.0,5.838183390780495,0.41553723553320143
droop,257,1,6,0,0,0.9482263425848733,1.0091731784562306,1.217907685322804,0.02438411447413576,0.03989641268523243,0.0,3.0628500069280085,0.2937776912414865
droop,282,1,75,0,0,0.9321433545816462,1.0054081083992943,2.2402026073453976,0.039722379859692104,0.058638002124931185,0.0,6.560317263216468,0.44176481435118203
droop,295,1,79,0,0,0.9291701629298581,1.0,2.6347004834471823,0.04653746025481572,0.06407397463144293,0.0,9.345384081205154,0.44721360216395983
droop,299,1,39,0,0,0.9416962102084827,1.0,1.5652164574665064,0.03539007739163935,0.052389079934933094,0.0,5.733294667654704,0.3562450118939312
no_control,4,1,67,0,0,0.9340046489737002,1.0,1.8982512348346754,0.0,0.0,0.0,0.0,0.0
no_control,38,1,96,0,0,0.9205004884204147,1.0,3.094092147994355,0.0,0.0,0.0,0.0,0.0
no_control,77,1,96,0,0,0.9177594846964382,1.0019942045598433,3.013235599368368,0.0,0.0,0.0,0.0,0.0
no_control,85,1,96,0,0,0.924297684479813,1.0,2.9035298450405604,0.0,0.0,0.0,0.0,0.0
no_control,105,1,78,0,0,0.9323027711668622,1.0087360244980874,2.1280120150980313,0.0,0.0,0.0,0.0,0.0
no_control,133,1,83,0,0,0.9333580979947462,1.0063508882953935,2.2281852947178074,0.0,0.0,0.0,0.0,0.0
no_control,137,1,15,0,0,0.947331938912144,1.0080758912644425,1.4494124979180671,0.0,0.0,0.0,0.0,0.0
no_control,147,1,88,0,0,0.9329254437260847,1.0079388625381065,2.299660067782457,0.0,0.0,0.0,0.0,0.0
no_control,159,1,19,0,0,0.945067534445059,1.0071914306337297,1.3250656069042752,0.0,0.0,0.0,0.0,0.0
no_control,220,1,78,0,0,0.934630137745641,1.0045746259291701,2.040550471976231,0.0,0.0,0.0,0.0,0.0
no_control,236,1,12,0,0,0.9471101703213818,1.008505562501081,1.2349275879637411,0.0,0.0,0.0,0.0,0.0
no_control,241,1,75,0,0,0.934899049645764,1.0013014410881569,2.1036851216353227,0.0,0.0,0.0,0.0,0.0
no_control,245,1,80,0,0,0.931462192393806,1.0043495397576465,2.242051631155074,0.0,0.0,0.0,0.0,0.0
no_control,257,1,18,0,0,0.9431968522521417,1.0091731784562306,1.298133738996391,0.0,0.0,0.0,0.0,0.0
no_control,282,1,88,0,0,0.9248090484537761,1.0054009652571392,2.4576527467502864,0.0,0.0,0.0,0.0,0.0
no_control,295,1,96,0,0,0.922025629327729,1.0,2.948113235378418,0.0,0.0,0.0,0.0,0.0
no_control,299,1,59,0,0,0.9358613395803898,1.0,1.7292946702380256,0.0,0.0,0.0,0.0,0.0
